Sampling rate,k,mae,stdv
0.0016667,1,0.30936074,0.12813069
0.0016667,2,13.734646,4.069313
0.0016667,4,11.754315,7.0750027
0.0016667,8,8.735334,6.7947297
0.0016667,16,9.068332,6.5871205
0.0016667,32,1.18995,1.8338149
0.016667,1,2.9691155,1.01791
0.016667,2,10.856073,5.728369
0.016667,4,12.757002,5.9844947
0.016667,8,17.145271,4.8051805
0.016667,16,9.033367,5.097281
0.016667,32,5.5734253,4.908504
1,1,11.550255,6.223591
1,2,10.343128,6.920763
1,4,6.6297398,4.875818
1,8,3.5866952,2.6885931
1,16,1.2802529,0.6836047
1,32,1.4414324,1.4229409
